"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.475376167E0,-2.354462433E1,-3.768595886E1,-5.859344482E1,7.353755916E1
1.485397167E0,-2.352498245E1,-3.761997223E1,-5.905676270E1,7.386736986E1
1.495418167E0,-2.364287376E1,-3.772933197E1,-5.876947021E1,7.373153057E1
1.505438167E0,-2.360953331E1,-3.764915848E1,-5.846240234E1,7.343515292E1
1.515459167E0,-2.353365326E1,-3.754974365E1,-5.889013672E1,7.370118240E1
1.525480167E0,-2.348290062E1,-3.762334824E1,-5.852673340E1,7.343256414E1
1.535500167E0,-2.352961922E1,-3.764654541E1,-5.895806885E1,7.380351783E1
1.545521167E0,-2.334860992E1,-3.765209961E1,-5.858111572E1,7.344784074E1
1.555542167E0,-2.340558815E1,-3.765322495E1,-5.897546387E1,7.378138142E1
1.565562167E0,-2.340089989E1,-3.761395264E1,-5.911114502E1,7.386838982E1
1.575583167E0,-2.352983475E1,-3.765266037E1,-5.905584717E1,7.388483634E1
1.585604167E0,-2.346107292E1,-3.771880341E1,-5.866809082E1,7.358719286E1
1.595624167E0,-2.338587570E1,-3.757822037E1,-5.902374268E1,7.377549748E1
1.605645167E0,-2.331000328E1,-3.764444351E1,-5.916448975E1,7.389788378E1
1.615666167E0,-2.351326752E1,-3.768655396E1,-5.844659424E1,7.341086075E1
1.625686167E0,-2.356803894E1,-3.773960114E1,-5.873565674E1,7.368586924E1
1.635707167E0,-2.358950996E1,-3.777406693E1,-5.866613770E1,7.365501222E1
1.645728167E0,-2.357219696E1,-3.765689850E1,-5.873175049E1,7.364176118E1
1.655748167E0,-2.367658043E1,-3.766082001E1,-5.896197510E1,7.386089853E1
1.665769167E0,-2.359624481E1,-3.763423157E1,-5.837646484E1,7.335482126E1
1.675790167E0,-2.362504768E1,-3.756138611E1,-5.875402832E1,7.362768805E1
1.685811167E0,-2.372781944E1,-3.768133926E1,-5.860925293E1,7.360663878E1
1.695831167E0,-2.346458817E1,-3.757822037E1,-5.898474121E1,7.376929740E1
1.705852167E0,-2.340809441E1,-3.760612488E1,-5.878308105E1,7.360441651E1
1.715873167E0,-2.340343475E1,-3.750496292E1,-5.844439697E1,7.328090160E1
1.725893167E0,-2.342868805E1,-3.748185730E1,-5.874359131E1,7.351600214E1
1.735914167E0,-2.345582008E1,-3.749383926E1,-5.820208740E1,7.309888136E1
1.745935167E0,-2.371294022E1,-3.732008362E1,-5.839111328E1,7.324352726E1
1.755955167E0,-2.369330978E1,-3.737681961E1,-5.816894531E1,7.308916316E1
1.765976167E0,-2.352311134E1,-3.762038040E1,-5.847650146E1,7.340388963E1
