"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.070779583E-1,-4.636931699E-4,3.909187857E-3,1.468500588E-3,4.201577684E-3
9.170989584E-1,-4.229468759E-4,-4.426239990E-3,9.177587926E-4,4.540128380E-3
9.271189583E-1,-8.277267916E-4,4.003663547E-3,1.052635722E-3,4.221669741E-3
9.371399584E-1,-1.701922156E-4,-1.331979991E-3,1.543513499E-4,1.351651000E-3
9.471599583E-1,-6.915098056E-4,-9.098703158E-4,-2.384558320E-5,1.143074107E-3
9.571799584E-1,-5.836519413E-4,3.011900699E-3,-1.060614130E-3,3.246089607E-3
9.672009583E-1,1.503522974E-3,-6.211455911E-3,5.020638928E-4,6.410525253E-3
9.772209583E-1,-2.401203848E-3,8.161357604E-3,-5.003497936E-4,8.521965019E-3
9.872419584E-1,1.148549141E-3,-1.253773458E-2,-7.503884844E-4,1.261257454E-2
9.972619583E-1,2.372155432E-4,1.300917007E-2,-9.826160967E-4,1.304838348E-2
1.007282958E0,5.036473740E-4,-1.049520355E-2,-1.014246373E-3,1.055611926E-2
1.017302958E0,-1.431671670E-3,6.240367424E-3,-1.261920435E-3,6.525665678E-3
1.027323958E0,1.673045103E-3,-5.763578229E-3,-1.039695926E-4,6.002393155E-3
1.037343958E0,-2.780825365E-3,4.897854757E-3,-7.463241927E-4,5.681458504E-3
1.047364958E0,-7.687550969E-4,-5.695095286E-3,4.164399579E-4,5.761815422E-3
1.057384958E0,-5.503757857E-4,2.869364340E-3,1.320140436E-4,2.924652617E-3
1.067405958E0,5.141613074E-4,-1.970634330E-3,-1.895946218E-3,2.782512098E-3
1.077425958E0,-1.599589712E-3,1.761253225E-3,1.403065398E-4,2.383356057E-3
1.087446958E0,1.153919846E-3,-2.413966693E-3,1.057165675E-3,2.876867301E-3
1.097466958E0,8.378024213E-4,2.144832164E-3,-1.620294061E-4,2.308348205E-3
1.107487958E0,-1.280229189E-3,-2.919055754E-3,1.518004574E-3,3.530468972E-3
1.117507958E0,5.102138966E-4,1.801929902E-3,3.329198807E-5,1.873066456E-3
1.127528958E0,7.926914841E-4,-1.071922015E-4,5.605397746E-4,9.767572861E-4
1.137548958E0,-1.909884391E-3,-2.356231678E-3,7.501565851E-4,3.124455314E-3
1.147569958E0,5.332075525E-4,1.807312132E-3,-4.462865181E-4,1.936455291E-3
1.157589958E0,1.188197639E-4,-2.936576493E-3,3.598523326E-4,2.960927783E-3
1.167609958E0,-1.048334176E-3,3.222655272E-3,5.410369486E-4,3.431797274E-3
1.177630958E0,1.652683131E-4,-5.479755811E-3,1.008161344E-4,5.483174378E-3
1.187650958E0,-1.113031758E-3,5.504424684E-3,-2.297329716E-3,6.067557550E-3
1.197671958E0,2.326634713E-4,-6.577538326E-3,4.276167601E-4,6.595528699E-3
1.207691958E0,8.963493165E-4,4.047071561E-3,-1.885910984E-3,4.553997207E-3
1.217712958E0,6.145867519E-4,-4.057993181E-3,6.049433723E-4,4.148612059E-3
1.227732958E0,-2.629318042E-3,6.007226184E-3,-7.489291020E-4,6.600073832E-3
1.237753958E0,1.478341874E-3,-4.833970219E-3,-1.380364643E-3,5.240054324E-3
1.247773958E0,-1.053658198E-3,4.523372278E-3,1.328941435E-4,4.646369896E-3
1.257794958E0,7.511661388E-4,-3.412847873E-3,-1.324653625E-3,3.737176528E-3
1.267814958E0,-5.480411928E-4,2.579811029E-3,3.994246945E-4,2.667454626E-3
1.277835958E0,1.113573089E-4,-1.706546638E-3,5.898410454E-4,1.809036854E-3
1.287855958E0,-7.173488848E-4,-8.565356839E-4,6.052413955E-4,1.270653354E-3
1.297876958E0,1.726367977E-3,7.349693915E-4,-7.886569947E-4,2.035314780E-3
1.307896958E0,9.060227312E-4,-2.725121565E-3,9.950576350E-5,2.873511116E-3
1.317917958E0,-1.578706549E-3,1.211030525E-3,-1.101313392E-3,2.274159293E-3
1.327937958E0,-8.232679684E-4,-2.351972042E-3,3.381632268E-4,2.514735970E-3
1.337958958E0,4.838453606E-5,2.306163078E-3,-9.159194306E-4,2.481861723E-3
1.347978958E0,5.827029236E-5,-4.203793593E-3,8.241645992E-5,4.205005169E-3
1.357999958E0,6.100772880E-4,3.723105183E-3,2.387436107E-4,3.780304883E-3
1.368019958E0,1.258866396E-3,-6.158805452E-3,-4.092981108E-4,6.299456655E-3
1.378039958E0,-4.378333688E-4,8.897829102E-4,5.848598666E-4,1.151291774E-3
1.388060958E0,2.253816696E-3,3.343954915E-3,1.313134562E-3,4.240995939E-3
1.398080958E0,8.254125714E-5,1.330605242E-3,1.725125592E-3,2.180225144E-3
1.408101958E0,-2.628567163E-4,-1.572803827E-3,5.204612389E-4,1.677404374E-3
1.418121958E0,-8.359688800E-4,3.829684574E-3,-1.034824643E-3,4.054157119E-3
1.428142958E0,3.288206644E-3,-8.603614755E-3,-1.755588222E-3,9.376384154E-3
1.438162958E0,-3.430416109E-3,1.166490465E-2,-6.985797081E-4,1.217890672E-2
1.448183958E0,6.266806740E-4,-8.715580218E-3,-5.252650008E-4,8.753854609E-3
1.458203958E0,1.682091272E-3,4.047619179E-3,8.140318096E-5,4.383979761E-3
1.468224958E0,-1.247720444E-3,2.406943822E-3,1.354664564E-4,2.714504749E-3
1.478244958E0,7.690913044E-4,-5.693060812E-3,-9.652178269E-4,5.825297271E-3
1.488265958E0,2.078649821E-3,6.063167471E-3,6.271582097E-4,6.440195050E-3
1.498285958E0,-9.328526212E-4,-8.916773368E-4,-1.363288146E-3,1.877193931E-3
1.508306958E0,-1.127669355E-3,-1.001313445E-3,-7.364505436E-4,1.678280725E-3
1.518326958E0,2.909682691E-3,3.781191073E-3,-8.403137326E-4,4.844562567E-3
1.528347958E0,-1.816096250E-3,-1.990635879E-3,-3.768152092E-4,2.720813572E-3
1.538367958E0,-2.980944701E-4,-2.811155748E-3,1.279404387E-3,3.102955452E-3
1.548388958E0,4.580204841E-4,6.056102924E-3,3.284262493E-5,6.073486974E-3
1.558408958E0,2.111843321E-3,-8.212048560E-3,1.015518792E-4,8.479854749E-3
1.568429958E0,-2.608401701E-4,7.623740472E-3,-8.813270833E-4,7.678944837E-3
1.578449958E0,2.220959868E-3,-5.891802255E-3,-5.092835054E-4,6.317069434E-3
1.588470958E0,-2.421229146E-3,8.115345612E-3,-8.440937381E-4,8.510797802E-3
1.598490958E0,-4.837794695E-4,-8.668428287E-3,-1.735985279E-6,8.681917677E-3
1.608510958E0,-1.782170031E-3,4.544788972E-3,-8.434359916E-5,4.882453344E-3
1.618531958E0,-3.629715648E-4,-2.438019030E-3,-1.839100383E-3,3.075382150E-3
1.628551958E0,-6.671352312E-4,-5.923222634E-4,7.921927609E-4,1.193098676E-3
1.638572958E0,1.028765924E-3,4.929158604E-4,5.795899779E-5,1.142227918E-3
1.648592958E0,1.245002728E-3,-4.379432066E-4,-6.836431567E-4,1.486335766E-3
1.658613958E0,3.517784644E-4,-8.533963119E-4,-1.992140897E-4,9.443090631E-4
1.668633958E0,2.210383071E-3,1.670649974E-3,1.355651766E-4,2.774030023E-3
1.678654958E0,-7.433290593E-4,1.842157450E-3,-5.467366427E-4,2.060340534E-3
1.688674958E0,-5.543837324E-4,-7.603677223E-4,9.029549547E-4,1.304157983E-3
1.698695958E0,-7.320167497E-4,4.274604376E-3,-3.636444453E-4,4.352048757E-3
1.708715958E0,1.018100884E-3,-6.385846995E-3,-1.015014481E-3,6.545672284E-3
1.718736958E0,7.115709595E-4,4.921135958E-3,-1.353502041E-3,5.153239770E-3
1.728756958E0,2.974448726E-3,-5.058681127E-3,-1.625536475E-3,6.089332377E-3
1.738777958E0,-5.172218662E-4,5.729517899E-3,-1.379149035E-5,5.752832696E-3
1.748797958E0,-2.102555009E-3,-5.752350669E-3,-7.582106628E-5,6.125032622E-3
1.758818958E0,-1.197879203E-3,3.630232066E-3,-9.498705622E-4,3.939004128E-3
1.768838958E0,6.165234372E-4,-3.510796931E-3,-2.246988006E-4,3.571594292E-3
1.778859958E0,-1.729721553E-3,3.360424656E-3,-8.899564855E-4,3.882835699E-3
1.788879958E0,1.875784248E-3,-3.752975492E-3,4.890742712E-4,4.224048441E-3
1.798901417E0,-2.013762482E-3,5.646385252E-3,-4.185307771E-4,6.009332223E-3
1.808921417E0,1.870651264E-3,-5.960764363E-3,1.324309036E-3,6.386222856E-3
1.818942417E0,1.345209777E-3,1.385299140E-3,3.325478174E-4,1.959395596E-3
1.828962417E0,-7.721916772E-4,9.178800974E-5,-3.368128091E-4,8.474360705E-4
1.838982417E0,-4.222523421E-4,-2.244070638E-3,-1.858116593E-4,2.290998918E-3
1.849003417E0,2.274383558E-3,2.018556464E-3,-1.814935822E-4,3.046363519E-3
1.859023417E0,-2.063905820E-3,-1.840630081E-3,-2.051957417E-4,2.773036534E-3
1.869044417E0,-3.877097741E-3,1.413863152E-3,3.740494139E-4,4.143767473E-3
1.879064417E0,1.980258618E-3,-4.912742414E-3,4.568737932E-4,5.316502222E-3
1.889085417E0,-6.598578766E-4,7.038222626E-3,-6.923407782E-4,7.102909679E-3
1.899105417E0,-4.271370359E-3,-4.949730355E-3,-3.400724381E-5,6.538011305E-3
1.909126417E0,-1.389815006E-4,4.125383217E-3,-2.702323254E-4,4.136559930E-3
1.919146417E0,1.696202671E-3,-4.482485820E-3,6.557488814E-4,4.837332862E-3
1.929167417E0,-2.360719722E-3,3.451856319E-3,-1.260404941E-3,4.367714536E-3
1.939187417E0,2.219650894E-3,-3.371428698E-3,7.790438831E-4,4.110996343E-3
1.949208417E0,1.197279664E-3,3.517930862E-3,4.976661876E-4,3.749264965E-3
1.959228417E0,-3.351031337E-4,-3.194300458E-3,-8.103880100E-5,3.212851819E-3
1.969249417E0,-2.057319973E-3,3.426051699E-3,4.178583622E-4,4.018084285E-3
1.979269417E0,2.853282727E-3,-3.981797025E-3,-6.561945193E-4,4.942319406E-3
1.989290417E0,-8.135032840E-4,5.290306173E-3,4.240646958E-4,5.369260458E-3
1.999310417E0,-6.372020580E-4,-4.225701094E-3,-1.895276364E-4,4.277674242E-3
2.009331417E0,2.155826427E-3,3.633300075E-4,-2.037628554E-3,2.988565944E-3
2.019351417E0,2.275402658E-3,1.323399600E-3,-1.012440771E-4,2.634216035E-3
2.029372417E0,-9.331643814E-4,-1.768289832E-3,1.039231196E-3,2.253363302E-3
2.039392417E0,-4.620512482E-4,1.409127610E-3,-1.481450628E-3,2.096145973E-3
2.049413417E0,1.410048921E-3,-2.324218396E-3,1.194668002E-4,2.721121355E-3
