"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.034648458E0,2.505701659E-1,6.676476547E-1,9.784046549E0
2.044667458E0,2.505152752E-1,6.676502860E-1,9.784047718E0
2.054686458E0,2.506254404E-1,6.675774881E-1,9.784049472E0
2.064706458E0,2.506475684E-1,6.675627239E-1,9.784050057E0
2.074725458E0,2.507800079E-1,6.675877208E-1,9.784044794E0
2.084744458E0,2.507688433E-1,6.676094285E-1,9.784043625E0
2.094763458E0,2.508762494E-1,6.676989640E-1,9.784034854E0
2.104782458E0,2.509133609E-1,6.676083322E-1,9.784040117E0
2.114801458E0,2.509054489E-1,6.675797539E-1,9.784042456E0
2.124820458E0,2.509899229E-1,6.675608966E-1,9.784041286E0
2.134839458E0,2.510257188E-1,6.675436474E-1,9.784041871E0
2.144858458E0,2.511593460E-1,6.676052624E-1,9.784034269E0
2.154877458E0,2.511401781E-1,6.676423191E-1,9.784031931E0
2.164896458E0,2.512337152E-1,6.675975879E-1,9.784032515E0
2.174915458E0,2.512359262E-1,6.677066385E-1,9.784024914E0
2.184935458E0,2.512634995E-1,6.677258612E-1,9.784023160E0
2.194954458E0,2.512735494E-1,6.677690575E-1,9.784019651E0
2.204973458E0,2.513317109E-1,6.677688383E-1,9.784018482E0
2.214992458E0,2.512049725E-1,6.678321344E-1,9.784017313E0
2.225011458E0,2.512743717E-1,6.678980617E-1,9.784010881E0
2.235030458E0,2.512640294E-1,6.679150186E-1,9.784010296E0
2.245049458E0,2.512325093E-1,6.679671320E-1,9.784007372E0
2.255068458E0,2.511383325E-1,6.680834185E-1,9.784002110E0
2.265087458E0,2.511924376E-1,6.681936385E-1,9.783992754E0
2.275106458E0,2.511939542E-1,6.683751945E-1,9.783980475E0
2.285125458E0,2.512193530E-1,6.685182320E-1,9.783969950E0
2.295144458E0,2.513482110E-1,6.686661666E-1,9.783956501E0
2.305163458E0,2.512864864E-1,6.686951103E-1,9.783956501E0
2.315183458E0,2.513560682E-1,6.686345185E-1,9.783958840E0
2.325202458E0,2.513590467E-1,6.685261258E-1,9.783965857E0
2.335221458E0,2.513352375E-1,6.683033469E-1,9.783981645E0
2.345240458E0,2.512440758E-1,6.681836982E-1,9.783992169E0
2.355259458E0,2.513109899E-1,6.681575319E-1,9.783992169E0
2.365278458E0,2.513210580E-1,6.681748543E-1,9.783991000E0
2.375297458E0,2.513150464E-1,6.681463491E-1,9.783993339E0
2.385316458E0,2.512923519E-1,6.681400634E-1,9.783993924E0
2.395335458E0,2.513566895E-1,6.681459106E-1,9.783992169E0
2.405354458E0,2.514222149E-1,6.681797513E-1,9.783988076E0
2.415373458E0,2.513393671E-1,6.682112532E-1,9.783988076E0
2.425392458E0,2.513303039E-1,6.682505757E-1,9.783985738E0
2.435412458E0,2.511837398E-1,6.682124957E-1,9.783992169E0
2.445431458E0,2.511942100E-1,6.682185622E-1,9.783991000E0
2.455450458E0,2.511369073E-1,6.682255058E-1,9.783992169E0
2.465469458E0,2.512221122E-1,6.682844165E-1,9.783986322E0
2.475488458E0,2.513354385E-1,6.683056127E-1,9.783981645E0
2.485507458E0,2.514404143E-1,6.683577991E-1,9.783975213E0
2.495526458E0,2.514530955E-1,6.683887162E-1,9.783972874E0
2.505545458E0,2.513927778E-1,6.684393677E-1,9.783971120E0
2.515564458E0,2.514053128E-1,6.682940644E-1,9.783980475E0
2.525583458E0,2.513984971E-1,6.682327417E-1,9.783985153E0
2.535602458E0,2.513138404E-1,6.682589811E-1,9.783985738E0
2.545621458E0,2.512836541E-1,6.682963302E-1,9.783983399E0
2.555640458E0,2.513128902E-1,6.682732337E-1,9.783984568E0
2.565660458E0,2.513895070E-1,6.682193662E-1,9.783986322E0
2.575679458E0,2.514881239E-1,6.681262493E-1,9.783989831E0
2.585698458E0,2.514356452E-1,6.681149203E-1,9.783992169E0
2.595717458E0,2.514943366E-1,6.681604555E-1,9.783987492E0
2.605736458E0,2.515449333E-1,6.681163090E-1,9.783989246E0
2.615755458E0,2.515275561E-1,6.680386873E-1,9.783995093E0
2.625774458E0,2.515960416E-1,6.679484209E-1,9.783999186E0
2.635793458E0,2.515619085E-1,6.679831387E-1,9.783998017E0
2.645812458E0,2.516768063E-1,6.679098292E-1,9.783999771E0
2.655831458E0,2.516037892E-1,6.678423670E-1,9.784006203E0
2.665850458E0,2.514925094E-1,6.678838822E-1,9.784006203E0
2.675869458E0,2.513329169E-1,6.678607126E-1,9.784012050E0
2.685889458E0,2.512149493E-1,6.678333769E-1,9.784017313E0
2.695908458E0,2.512186038E-1,6.677393829E-1,9.784023160E0
2.705927458E0,2.512279959E-1,6.678061143E-1,9.784018482E0
2.715946458E0,2.512881309E-1,6.677287117E-1,9.784022575E0
2.725965458E0,2.512810411E-1,6.677173097E-1,9.784023160E0
2.735984458E0,2.512990213E-1,6.677815560E-1,9.784018482E0
2.746003583E0,2.512661125E-1,6.677482268E-1,9.784021406E0
2.756022583E0,2.512624031E-1,6.676477278E-1,9.784028422E0
2.766041583E0,2.512332402E-1,6.676894623E-1,9.784026668E0
2.776060583E0,2.512404761E-1,6.676198073E-1,9.784030761E0
2.786079583E0,2.513039184E-1,6.675978072E-1,9.784030761E0
2.796098583E0,2.514169889E-1,6.676507976E-1,9.784024329E0
2.806118583E0,2.514739993E-1,6.676316480E-1,9.784024329E0
2.816137583E0,2.514511038E-1,6.675076139E-1,9.784033100E0
2.826156583E0,2.515138700E-1,6.673801446E-1,9.784040117E0
2.836175583E0,2.514833000E-1,6.672482899E-1,9.784050057E0
2.846194583E0,2.515413519E-1,6.673242306E-1,9.784043625E0
2.856213583E0,2.515133401E-1,6.672641505E-1,9.784048303E0
2.866232583E0,2.515220926E-1,6.671171661E-1,9.784058243E0
2.876251583E0,2.514784578E-1,6.671386546E-1,9.784057658E0
2.886270583E0,2.514390073E-1,6.672149608E-1,9.784053565E0
2.896289583E0,2.514170985E-1,6.671766615E-1,9.784056489E0
2.906308583E0,2.514110686E-1,6.672084557E-1,9.784054735E0
2.916327583E0,2.513813209E-1,6.671798044E-1,9.784057658E0
2.926347583E0,2.514833914E-1,6.672213196E-1,9.784051811E0
2.936366583E0,2.514632185E-1,6.671155581E-1,9.784059412E0
2.946385583E0,2.513465117E-1,6.671048138E-1,9.784063506E0
2.956404583E0,2.512441854E-1,6.670331854E-1,9.784071107E0
2.966423583E0,2.511333807E-1,6.670076039E-1,9.784075200E0
2.976442583E0,2.511088041E-1,6.670401290E-1,9.784074031E0
2.986461583E0,2.510815049E-1,6.670670262E-1,9.784072861E0
2.996480583E0,2.511312062E-1,6.670632255E-1,9.784071692E0
3.006499583E0,2.511098639E-1,6.670111122E-1,9.784075785E0
3.016518583E0,2.511748045E-1,6.669973712E-1,9.784075200E0
3.026537583E0,2.512716856E-1,6.669318824E-1,9.784076954E0
3.036556583E0,2.513039367E-1,6.668840083E-1,9.784079293E0
3.046576583E0,2.513718374E-1,6.668218817E-1,9.784082217E0
3.056595583E0,2.513852678E-1,6.667766389E-1,9.784084556E0
3.066614583E0,2.514855475E-1,6.666762860E-1,9.784089233E0
3.076633583E0,2.515254730E-1,6.666352093E-1,9.784090987E0
3.086652583E0,2.516179687E-1,6.666115281E-1,9.784089818E0
3.096671583E0,2.514957253E-1,6.666574287E-1,9.784089818E0
3.106690583E0,2.515469433E-1,6.667473297E-1,9.784082801E0
3.116709583E0,2.515850598E-1,6.667832901E-1,9.784079293E0
3.126728583E0,2.515475097E-1,6.666841067E-1,9.784086894E0
3.136747583E0,2.515645946E-1,6.667083726E-1,9.784084556E0
3.146766583E0,2.515612872E-1,6.666362326E-1,9.784089818E0
3.156785583E0,2.514976988E-1,6.666379137E-1,9.784091572E0
3.166804583E0,2.513813940E-1,6.666168637E-1,9.784095665E0
3.176824583E0,2.514181401E-1,6.665746906E-1,9.784097419E0
3.186843583E0,2.513222640E-1,6.665980795E-1,9.784098589E0
3.196862583E0,2.513827096E-1,6.666231494E-1,9.784095080E0
3.206881583E0,2.513369734E-1,6.666554553E-1,9.784094496E0
3.216900583E0,2.513577493E-1,6.665665776E-1,9.784099758E0
3.226919583E0,2.513767710E-1,6.665873352E-1,9.784098004E0
3.236938583E0,2.513664105E-1,6.666673690E-1,9.784092742E0
3.246957583E0,2.514386602E-1,6.666922197E-1,9.784089233E0
3.256976583E0,2.515230062E-1,6.666541397E-1,9.784089818E0
3.266995583E0,2.515436725E-1,6.665870429E-1,9.784093326E0
3.277014583E0,2.515142902E-1,6.665210424E-1,9.784098589E0
3.287033583E0,2.515135593E-1,6.663649218E-1,9.784109699E0
3.297053583E0,2.515059580E-1,6.662702700E-1,9.784116130E0
3.307072583E0,2.515966812E-1,6.662489276E-1,9.784115546E0
3.317091583E0,2.516724757E-1,6.663421176E-1,9.784106775E0
3.327110583E0,2.517605494E-1,6.662769212E-1,9.784109114E0
3.337129583E0,2.518056278E-1,6.662645689E-1,9.784109114E0
3.347148583E0,2.518206112E-1,6.662561636E-1,9.784109114E0
3.357167583E0,2.518224020E-1,6.662332863E-1,9.784110283E0
3.367186583E0,2.518170298E-1,6.662337980E-1,9.784110868E0
