"Time t (s)","Angular Velocity x (rad/s)","Angular Velocity y (rad/s)","Angular Velocity z (rad/s)","Absolute Angular Velocity (rad/s)"
3.963000059E0,5.326317681E-3,3.195790349E-3,0.000000000E0,6.211500185E-3
3.973000050E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
3.993000031E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
4.002999783E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
4.012000084E0,5.326317681E-3,1.065263471E-3,0.000000000E0,5.431799577E-3
4.021999836E0,5.326317681E-3,1.065263471E-3,1.065263471E-3,5.535271621E-3
4.032000065E0,4.261053885E-3,1.065263471E-3,0.000000000E0,4.392193912E-3
4.041999817E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
4.052000046E0,3.195790349E-3,2.130526942E-3,0.000000000E0,3.840862035E-3
4.061999798E0,3.195790349E-3,3.195790349E-3,0.000000000E0,4.519529835E-3
4.072000027E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.080999851E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
4.091000080E0,6.391580697E-3,3.195790349E-3,0.000000000E0,7.146004703E-3
4.100999832E0,6.391580697E-3,3.195790349E-3,0.000000000E0,7.146004703E-3
4.111000061E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
4.120999813E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
4.131000042E0,5.326317681E-3,2.130526942E-3,-1.065263471E-3,5.834688696E-3
4.140999794E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.150000095E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
4.159999847E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
4.171000004E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
4.179999828E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
4.190000057E0,5.326317681E-3,1.065263471E-3,-1.065263471E-3,5.535271621E-3
4.230000019E0,4.261053885E-3,2.130526942E-3,0.000000000E0,4.764003135E-3
4.238999844E0,5.326317681E-3,2.130526942E-3,0.000000000E0,5.736619433E-3
4.249000072E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
4.269000053E0,6.391580697E-3,2.130526942E-3,0.000000000E0,6.737317492E-3
4.278999805E0,7.456844234E-3,2.130526942E-3,0.000000000E0,7.755235057E-3
4.289999962E0,7.456844234E-3,2.130526942E-3,0.000000000E0,7.755235057E-3
4.298999786E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
4.308000088E0,6.391580697E-3,1.065263471E-3,-1.065263471E-3,6.566725003E-3
4.318999767E0,6.391580697E-3,2.130526942E-3,-1.065263471E-3,6.821014020E-3
